DateTime,Snow Depth (m),Source
10/1/18,0.000243026,Water Year 2019
10/2/18,0.00046603,Water Year 2019
10/3/18,0.000186979,Water Year 2019
10/4/18,0.000840536,Water Year 2019
10/5/18,0.001417468,Water Year 2019
10/6/18,0.002831024,Water Year 2019
10/7/18,0.001545972,Water Year 2019
10/8/18,0.001085205,Water Year 2019
10/9/18,0.001079017,Water Year 2019
10/10/18,0.001952233,Water Year 2019
10/11/18,0.008206272,Water Year 2019
10/12/18,0.007819789,Water Year 2019
10/13/18,0.005373276,Water Year 2019
10/14/18,0.002922979,Water Year 2019
10/15/18,0.005788585,Water Year 2019
10/16/18,0.004560527,Water Year 2019
10/17/18,0.001833065,Water Year 2019
10/18/18,0.001168401,Water Year 2019
10/19/18,0.000761976,Water Year 2019
10/20/18,0.00042886,Water Year 2019
10/21/18,0.000255122,Water Year 2019
10/22/18,0.000109654,Water Year 2019
10/23/18,5.56394E-05,Water Year 2019
10/24/18,7.4586E-05,Water Year 2019
10/25/18,9.95302E-05,Water Year 2019
10/26/18,0.000118648,Water Year 2019
10/27/18,0.000191969,Water Year 2019
10/28/18,0.000212408,Water Year 2019
10/29/18,0.000225085,Water Year 2019
10/30/18,0.000359122,Water Year 2019
10/31/18,0.000713103,Water Year 2019
11/1/18,0.001200449,Water Year 2019
11/2/18,0.001994831,Water Year 2019
11/3/18,0.002270787,Water Year 2019
11/4/18,0.003492613,Water Year 2019
11/5/18,0.004717022,Water Year 2019
11/6/18,0.005609247,Water Year 2019
11/7/18,0.006601825,Water Year 2019
11/8/18,0.008533437,Water Year 2019
11/9/18,0.009159959,Water Year 2019
11/10/18,0.010597304,Water Year 2019
11/11/18,0.023713313,Water Year 2019
11/12/18,0.028044078,Water Year 2019
11/13/18,0.030701356,Water Year 2019
11/14/18,0.030213311,Water Year 2019
11/15/18,0.023391943,Water Year 2019
11/16/18,0.014133999,Water Year 2019
11/17/18,0.013584449,Water Year 2019
11/18/18,0.019019397,Water Year 2019
11/19/18,0.020838488,Water Year 2019
11/20/18,0.022279717,Water Year 2019
11/21/18,0.020342896,Water Year 2019
11/22/18,0.016701795,Water Year 2019
11/23/18,0.015688218,Water Year 2019
11/24/18,0.015871879,Water Year 2019
11/25/18,0.017702265,Water Year 2019
11/26/18,0.027871279,Water Year 2019
11/27/18,0.031544663,Water Year 2019
11/28/18,0.030560894,Water Year 2019
11/29/18,0.031788956,Water Year 2019
11/30/18,0.030104397,Water Year 2019
12/1/18,0.028201776,Water Year 2019
12/2/18,0.036234543,Water Year 2019
12/3/18,0.051098555,Water Year 2019
12/4/18,0.0539261,Water Year 2019
12/5/18,0.05305745,Water Year 2019
12/6/18,0.051756263,Water Year 2019
12/7/18,0.053169154,Water Year 2019
12/8/18,0.052570727,Water Year 2019
12/9/18,0.051744733,Water Year 2019
12/10/18,0.05054683,Water Year 2019
12/11/18,0.05148738,Water Year 2019
12/12/18,0.053248454,Water Year 2019
12/13/18,0.05377255,Water Year 2019
12/14/18,0.051276207,Water Year 2019
12/15/18,0.05002497,Water Year 2019
12/16/18,0.044412013,Water Year 2019
12/17/18,0.03602322,Water Year 2019
12/18/18,0.032222163,Water Year 2019
12/19/18,0.02825144,Water Year 2019
12/20/18,0.024991034,Water Year 2019
12/21/18,0.02275164,Water Year 2019
12/22/18,0.022822388,Water Year 2019
12/23/18,0.025036411,Water Year 2019
12/24/18,0.025512151,Water Year 2019
12/25/18,0.027584111,Water Year 2019
12/26/18,0.028779762,Water Year 2019
12/27/18,0.034619544,Water Year 2019
12/28/18,0.053754147,Water Year 2019
12/29/18,0.060224887,Water Year 2019
12/30/18,0.058029775,Water Year 2019
12/31/18,0.05819976,Water Year 2019
1/1/19,0.0665133,Water Year 2019
1/2/19,0.07528416,Water Year 2019
1/3/19,0.07460155,Water Year 2019
1/4/19,0.073185295,Water Year 2019
1/5/19,0.06230242,Water Year 2019
1/6/19,0.048816323,Water Year 2019
1/7/19,0.04540856,Water Year 2019
1/8/19,0.04172979,Water Year 2019
1/9/19,0.03819229,Water Year 2019
1/10/19,0.03772322,Water Year 2019
1/11/19,0.037909742,Water Year 2019
1/12/19,0.038266994,Water Year 2019
1/13/19,0.050603975,Water Year 2019
1/14/19,0.050878763,Water Year 2019
1/15/19,0.049635924,Water Year 2019
1/16/19,0.048632152,Water Year 2019
1/17/19,0.0471672,Water Year 2019
1/18/19,0.047750406,Water Year 2019
1/19/19,0.053924743,Water Year 2019
1/20/19,0.0617629,Water Year 2019
1/21/19,0.06701664,Water Year 2019
1/22/19,0.0768894,Water Year 2019
1/23/19,0.0862199,Water Year 2019
1/24/19,0.08420958,Water Year 2019
1/25/19,0.08337179,Water Year 2019
1/26/19,0.08273579,Water Year 2019
1/27/19,0.08098687,Water Year 2019
1/28/19,0.07475548,Water Year 2019
1/29/19,0.070088424,Water Year 2019
1/30/19,0.07025107,Water Year 2019
1/31/19,0.07185262,Water Year 2019
2/1/19,0.07497683,Water Year 2019
2/2/19,0.073651396,Water Year 2019
2/3/19,0.06938915,Water Year 2019
2/4/19,0.06563315,Water Year 2019
2/5/19,0.073495395,Water Year 2019
2/6/19,0.07873919,Water Year 2019
2/7/19,0.08608368,Water Year 2019
2/8/19,0.09519883,Water Year 2019
2/9/19,0.09707169,Water Year 2019
2/10/19,0.09871291,Water Year 2019
2/11/19,0.1092599,Water Year 2019
2/12/19,0.11663505,Water Year 2019
2/13/19,0.11625325,Water Year 2019
2/14/19,0.11303705,Water Year 2019
2/15/19,0.10567415,Water Year 2019
2/16/19,0.10756566,Water Year 2019
2/17/19,0.115643136,Water Year 2019
2/18/19,0.12282691,Water Year 2019
2/19/19,0.12133925,Water Year 2019
2/20/19,0.123302385,Water Year 2019
2/21/19,0.1253392,Water Year 2019
2/22/19,0.12067457,Water Year 2019
2/23/19,0.11954795,Water Year 2019
2/24/19,0.12097718,Water Year 2019
2/25/19,0.12021347,Water Year 2019
2/26/19,0.13323551,Water Year 2019
2/27/19,0.15012161,Water Year 2019
2/28/19,0.16101156,Water Year 2019
3/1/19,0.1610978,Water Year 2019
3/2/19,0.15769073,Water Year 2019
3/3/19,0.15626432,Water Year 2019
3/4/19,0.16080834,Water Year 2019
3/5/19,0.16299374,Water Year 2019
3/6/19,0.16170514,Water Year 2019
3/7/19,0.16069078,Water Year 2019
3/8/19,0.17311394,Water Year 2019
3/9/19,0.16990927,Water Year 2019
3/10/19,0.1795093,Water Year 2019
3/11/19,0.17672232,Water Year 2019
3/12/19,0.16370371,Water Year 2019
3/13/19,0.14328519,Water Year 2019
3/14/19,0.12897252,Water Year 2019
3/15/19,0.14470407,Water Year 2019
3/16/19,0.13915734,Water Year 2019
3/17/19,0.12831672,Water Year 2019
3/18/19,0.11733483,Water Year 2019
3/19/19,0.1091478,Water Year 2019
3/20/19,0.101330094,Water Year 2019
3/21/19,0.093145184,Water Year 2019
3/22/19,0.08383898,Water Year 2019
3/23/19,0.07694026,Water Year 2019
3/24/19,0.072491854,Water Year 2019
3/25/19,0.066826396,Water Year 2019
3/26/19,0.06349911,Water Year 2019
3/27/19,0.060248073,Water Year 2019
3/28/19,0.05439652,Water Year 2019
3/29/19,0.051585317,Water Year 2019
3/30/19,0.052224077,Water Year 2019
3/31/19,0.058465127,Water Year 2019
4/1/19,0.05678219,Water Year 2019
4/2/19,0.052811887,Water Year 2019
4/3/19,0.05052089,Water Year 2019
4/4/19,0.04915437,Water Year 2019
4/5/19,0.04729493,Water Year 2019
4/6/19,0.045156226,Water Year 2019
4/7/19,0.04377777,Water Year 2019
4/8/19,0.042666353,Water Year 2019
4/9/19,0.04067562,Water Year 2019
4/10/19,0.039759308,Water Year 2019
4/11/19,0.047199585,Water Year 2019
4/12/19,0.059807196,Water Year 2019
4/13/19,0.05986133,Water Year 2019
4/14/19,0.05411715,Water Year 2019
4/15/19,0.048026368,Water Year 2019
4/16/19,0.043437906,Water Year 2019
4/17/19,0.040470667,Water Year 2019
4/18/19,0.03918022,Water Year 2019
4/19/19,0.03810911,Water Year 2019
4/20/19,0.03612634,Water Year 2019
4/21/19,0.033653248,Water Year 2019
4/22/19,0.032546647,Water Year 2019
4/23/19,0.032074068,Water Year 2019
4/24/19,0.030932192,Water Year 2019
4/25/19,0.02950213,Water Year 2019
4/26/19,0.028298004,Water Year 2019
4/27/19,0.027437462,Water Year 2019
4/28/19,0.02746242,Water Year 2019
4/29/19,0.027381403,Water Year 2019
4/30/19,0.028416019,Water Year 2019
5/1/19,0.029638384,Water Year 2019
5/2/19,0.031610776,Water Year 2019
5/3/19,0.030323334,Water Year 2019
5/4/19,0.029076925,Water Year 2019
5/5/19,0.027600052,Water Year 2019
5/6/19,0.026702536,Water Year 2019
5/7/19,0.02608007,Water Year 2019
5/8/19,0.0254778,Water Year 2019
5/9/19,0.025590071,Water Year 2019
5/10/19,0.025675654,Water Year 2019
5/11/19,0.025394019,Water Year 2019
5/12/19,0.024612147,Water Year 2019
5/13/19,0.023652148,Water Year 2019
5/14/19,0.022360861,Water Year 2019
5/15/19,0.021105055,Water Year 2019
5/16/19,0.020056278,Water Year 2019
5/17/19,0.01914128,Water Year 2019
5/18/19,0.018763427,Water Year 2019
5/19/19,0.020432105,Water Year 2019
5/20/19,0.020246655,Water Year 2019
5/21/19,0.019669753,Water Year 2019
5/22/19,0.023522802,Water Year 2019
5/23/19,0.031718254,Water Year 2019
5/24/19,0.026006883,Water Year 2019
5/25/19,0.023633398,Water Year 2019
5/26/19,0.021884529,Water Year 2019
5/27/19,0.020217432,Water Year 2019
5/28/19,0.019385511,Water Year 2019
5/29/19,0.020239934,Water Year 2019
5/30/19,0.020023545,Water Year 2019
5/31/19,0.018984105,Water Year 2019
6/1/19,0.017950708,Water Year 2019
6/2/19,0.01724295,Water Year 2019
6/3/19,0.016517965,Water Year 2019
6/4/19,0.015695196,Water Year 2019
6/5/19,0.014870662,Water Year 2019
6/6/19,0.014098853,Water Year 2019
6/7/19,0.013260479,Water Year 2019
6/8/19,0.012279144,Water Year 2019
6/9/19,0.011742476,Water Year 2019
6/10/19,0.01160769,Water Year 2019
6/11/19,0.01124818,Water Year 2019
6/12/19,0.010797363,Water Year 2019
6/13/19,0.010260765,Water Year 2019
6/14/19,0.009773141,Water Year 2019
6/15/19,0.009290865,Water Year 2019
6/16/19,0.008831267,Water Year 2019
6/17/19,0.008428267,Water Year 2019
6/18/19,0.008072662,Water Year 2019
6/19/19,0.007744792,Water Year 2019
6/20/19,0.007335075,Water Year 2019
6/21/19,0.006889758,Water Year 2019
6/22/19,0.006660396,Water Year 2019
6/23/19,0.006482519,Water Year 2019
6/24/19,0.006292637,Water Year 2019
6/25/19,0.006035462,Water Year 2019
6/26/19,0.005739254,Water Year 2019
6/27/19,0.005463012,Water Year 2019
6/28/19,0.005177468,Water Year 2019
6/29/19,0.004819347,Water Year 2019
6/30/19,0.004486167,Water Year 2019
7/1/19,0.00419997,Water Year 2019
7/2/19,0.003966881,Water Year 2019
7/3/19,0.003696875,Water Year 2019
7/4/19,0.003468587,Water Year 2019
7/5/19,0.003292966,Water Year 2019
7/6/19,0.003127489,Water Year 2019
7/7/19,0.002963901,Water Year 2019
7/8/19,0.002776293,Water Year 2019
7/9/19,0.002589595,Water Year 2019
7/10/19,0.002476001,Water Year 2019
7/11/19,0.002336733,Water Year 2019
7/12/19,0.002161888,Water Year 2019
7/13/19,0.00196361,Water Year 2019
7/14/19,0.001819277,Water Year 2019
7/15/19,0.001685879,Water Year 2019
7/16/19,0.001559623,Water Year 2019
7/17/19,0.001462446,Water Year 2019
7/18/19,0.001364281,Water Year 2019
7/19/19,0.001241272,Water Year 2019
7/20/19,0.001099321,Water Year 2019
7/21/19,0.00099306,Water Year 2019
7/22/19,0.000919848,Water Year 2019
7/23/19,0.000852857,Water Year 2019
7/24/19,0.000787619,Water Year 2019
7/25/19,0.000719696,Water Year 2019
7/26/19,0.000652683,Water Year 2019
7/27/19,0.000600584,Water Year 2019
7/28/19,0.000560566,Water Year 2019
7/29/19,0.000518299,Water Year 2019
7/30/19,0.000470949,Water Year 2019
7/31/19,0.000433711,Water Year 2019
8/1/19,0.000375891,Water Year 2019
8/2/19,0.000362958,Water Year 2019
8/3/19,0.00032977,Water Year 2019
8/4/19,0.000297251,Water Year 2019
8/5/19,0.000267078,Water Year 2019
8/6/19,0.000242622,Water Year 2019
8/7/19,0.000219089,Water Year 2019
8/8/19,0.000199706,Water Year 2019
8/9/19,0.000183015,Water Year 2019
8/10/19,0.000164584,Water Year 2019
8/11/19,0.000143811,Water Year 2019
8/12/19,0.000124934,Water Year 2019
8/13/19,0.000105252,Water Year 2019
8/14/19,8.94524E-05,Water Year 2019
8/15/19,7.63472E-05,Water Year 2019
8/16/19,6.49658E-05,Water Year 2019
8/17/19,5.71665E-05,Water Year 2019
8/18/19,4.82277E-05,Water Year 2019
8/19/19,3.98511E-05,Water Year 2019
8/20/19,3.06487E-05,Water Year 2019
8/21/19,2.4053E-05,Water Year 2019
8/22/19,1.99864E-05,Water Year 2019
8/23/19,1.73118E-05,Water Year 2019
8/24/19,1.53288E-05,Water Year 2019
8/25/19,1.36485E-05,Water Year 2019
8/26/19,1.36485E-05,Water Year 2019
8/27/19,1.36485E-05,Water Year 2019
8/28/19,1.36485E-05,Water Year 2019
8/29/19,1.36485E-05,Water Year 2019
8/30/19,1.36485E-05,Water Year 2019
8/31/19,1.36485E-05,Water Year 2019
9/1/19,1.36485E-05,Water Year 2019
9/2/19,1.36485E-05,Water Year 2019
9/3/19,1.36485E-05,Water Year 2019
9/4/19,1.36485E-05,Water Year 2019
9/5/19,1.36485E-05,Water Year 2019
9/6/19,1.36485E-05,Water Year 2019
9/7/19,1.36485E-05,Water Year 2019
9/8/19,1.36485E-05,Water Year 2019
9/9/19,1.36485E-05,Water Year 2019
9/10/19,1.36485E-05,Water Year 2019
9/11/19,1.36485E-05,Water Year 2019
9/12/19,1.36485E-05,Water Year 2019
9/13/19,1.36485E-05,Water Year 2019
9/14/19,1.36485E-05,Water Year 2019
9/15/19,1.36485E-05,Water Year 2019
9/16/19,1.36485E-05,Water Year 2019
9/17/19,1.36485E-05,Water Year 2019
9/18/19,1.36485E-05,Water Year 2019
9/19/19,1.36485E-05,Water Year 2019
9/20/19,1.36485E-05,Water Year 2019
9/21/19,1.36485E-05,Water Year 2019
9/22/19,1.36485E-05,Water Year 2019
9/23/19,1.36485E-05,Water Year 2019
9/24/19,1.36485E-05,Water Year 2019
9/25/19,1.36485E-05,Water Year 2019
9/26/19,1.36485E-05,Water Year 2019
9/27/19,1.36485E-05,Water Year 2019
9/28/19,1.36485E-05,Water Year 2019
9/29/19,1.36485E-05,Water Year 2019
9/30/19,1.36485E-05,Water Year 2019
10/1/18,0.000607216,Climatology
10/2/18,0.000591945,Climatology
10/3/18,0.000700735,Climatology
10/4/18,0.001523251,Climatology
10/5/18,0.001509764,Climatology
10/6/18,0.001529873,Climatology
10/7/18,0.001054646,Climatology
10/8/18,0.000735669,Climatology
10/9/18,0.000602102,Climatology
10/10/18,0.001527369,Climatology
10/11/18,0.004545213,Climatology
10/12/18,0.005238885,Climatology
10/13/18,0.004478646,Climatology
10/14/18,0.003478518,Climatology
10/15/18,0.003061171,Climatology
10/16/18,0.002052253,Climatology
10/17/18,0.001202116,Climatology
10/18/18,0.000999413,Climatology
10/19/18,0.0009634,Climatology
10/20/18,0.001317444,Climatology
10/21/18,0.001770214,Climatology
10/22/18,0.001968355,Climatology
10/23/18,0.002714707,Climatology
10/24/18,0.003047627,Climatology
10/25/18,0.005910238,Climatology
10/26/18,0.007549775,Climatology
10/27/18,0.008021665,Climatology
10/28/18,0.008734231,Climatology
10/29/18,0.006374097,Climatology
10/30/18,0.004810014,Climatology
10/31/18,0.004503336,Climatology
11/1/18,0.00423715,Climatology
11/2/18,0.004428317,Climatology
11/3/18,0.004199707,Climatology
11/4/18,0.004430376,Climatology
11/5/18,0.005136906,Climatology
11/6/18,0.00572679,Climatology
11/7/18,0.006436961,Climatology
11/8/18,0.006659731,Climatology
11/9/18,0.007836912,Climatology
11/10/18,0.008946378,Climatology
11/11/18,0.013767302,Climatology
11/12/18,0.016332334,Climatology
11/13/18,0.015949598,Climatology
11/14/18,0.015566519,Climatology
11/15/18,0.012865519,Climatology
11/16/18,0.010147868,Climatology
11/17/18,0.009026668,Climatology
11/18/18,0.010157106,Climatology
11/19/18,0.012246961,Climatology
11/20/18,0.0124972,Climatology
11/21/18,0.012951723,Climatology
11/22/18,0.013324168,Climatology
11/23/18,0.013484542,Climatology
11/24/18,0.012422442,Climatology
11/25/18,0.01254837,Climatology
11/26/18,0.015024578,Climatology
11/27/18,0.018523347,Climatology
11/28/18,0.024177419,Climatology
11/29/18,0.027316725,Climatology
11/30/18,0.029331611,Climatology
12/1/18,0.032852262,Climatology
12/2/18,0.037070777,Climatology
12/3/18,0.038126834,Climatology
12/4/18,0.03528971,Climatology
12/5/18,0.032962497,Climatology
12/6/18,0.030221658,Climatology
12/7/18,0.029118782,Climatology
12/8/18,0.028826732,Climatology
12/9/18,0.028237712,Climatology
12/10/18,0.027560323,Climatology
12/11/18,0.027378278,Climatology
12/12/18,0.029701244,Climatology
12/13/18,0.031516213,Climatology
12/14/18,0.032736488,Climatology
12/15/18,0.036514863,Climatology
12/16/18,0.040028796,Climatology
12/17/18,0.04420792,Climatology
12/18/18,0.04670129,Climatology
12/19/18,0.048312258,Climatology
12/20/18,0.047766693,Climatology
12/21/18,0.050128076,Climatology
12/22/18,0.04636485,Climatology
12/23/18,0.042935994,Climatology
12/24/18,0.043604862,Climatology
12/25/18,0.047180973,Climatology
12/26/18,0.050498605,Climatology
12/27/18,0.05579434,Climatology
12/28/18,0.060976263,Climatology
12/29/18,0.06802612,Climatology
12/30/18,0.07145602,Climatology
12/31/18,0.07369097,Climatology
1/1/19,0.07431823,Climatology
1/2/19,0.07533714,Climatology
1/3/19,0.07806826,Climatology
1/4/19,0.077179104,Climatology
1/5/19,0.07441411,Climatology
1/6/19,0.07135985,Climatology
1/7/19,0.07078239,Climatology
1/8/19,0.06947725,Climatology
1/9/19,0.06909341,Climatology
1/10/19,0.069609866,Climatology
1/11/19,0.06865781,Climatology
1/12/19,0.07289775,Climatology
1/13/19,0.07796858,Climatology
1/14/19,0.08030398,Climatology
1/15/19,0.07914705,Climatology
1/16/19,0.07891327,Climatology
1/17/19,0.08018032,Climatology
1/18/19,0.08582689,Climatology
1/19/19,0.08775528,Climatology
1/20/19,0.08444155,Climatology
1/21/19,0.08342557,Climatology
1/22/19,0.08519203,Climatology
1/23/19,0.086156316,Climatology
1/24/19,0.08337336,Climatology
1/25/19,0.08364384,Climatology
1/26/19,0.08436165,Climatology
1/27/19,0.08219136,Climatology
1/28/19,0.078371055,Climatology
1/29/19,0.074484125,Climatology
1/30/19,0.07152182,Climatology
1/31/19,0.06776779,Climatology
2/1/19,0.065810345,Climatology
2/2/19,0.06500331,Climatology
2/3/19,0.064169504,Climatology
2/4/19,0.06554458,Climatology
2/5/19,0.07014602,Climatology
2/6/19,0.07417279,Climatology
2/7/19,0.07628341,Climatology
2/8/19,0.0777481,Climatology
2/9/19,0.079586715,Climatology
2/10/19,0.08183929,Climatology
2/11/19,0.07883214,Climatology
2/12/19,0.07772879,Climatology
2/13/19,0.07870599,Climatology
2/14/19,0.0804901,Climatology
2/15/19,0.07866211,Climatology
2/16/19,0.074027896,Climatology
2/17/19,0.07342566,Climatology
2/18/19,0.073763266,Climatology
2/19/19,0.07514112,Climatology
2/20/19,0.07697856,Climatology
2/21/19,0.08265039,Climatology
2/22/19,0.08657805,Climatology
2/23/19,0.08734874,Climatology
2/24/19,0.09069396,Climatology
2/25/19,0.095379874,Climatology
2/26/19,0.101964965,Climatology
2/27/19,0.10555029,Climatology
2/28/19,0.105558895,Climatology
3/1/19,0.10187151,Climatology
3/2/19,0.1000269,Climatology
3/3/19,0.099226244,Climatology
3/4/19,0.098020464,Climatology
3/5/19,0.09575572,Climatology
3/6/19,0.09440732,Climatology
3/7/19,0.095426574,Climatology
3/8/19,0.09785642,Climatology
3/9/19,0.09569199,Climatology
3/10/19,0.097015515,Climatology
3/11/19,0.09554813,Climatology
3/12/19,0.09237866,Climatology
3/13/19,0.08705242,Climatology
3/14/19,0.08323416,Climatology
3/15/19,0.086799614,Climatology
3/16/19,0.083878614,Climatology
3/17/19,0.081272095,Climatology
3/18/19,0.0792744,Climatology
3/19/19,0.07516894,Climatology
3/20/19,0.074260615,Climatology
3/21/19,0.07352474,Climatology
3/22/19,0.06892169,Climatology
3/23/19,0.06435334,Climatology
3/24/19,0.06426233,Climatology
3/25/19,0.065370515,Climatology
3/26/19,0.062969856,Climatology
3/27/19,0.06328198,Climatology
3/28/19,0.061110545,Climatology
3/29/19,0.058538128,Climatology
3/30/19,0.057983942,Climatology
3/31/19,0.05964059,Climatology
4/1/19,0.0540992,Climatology
4/2/19,0.053591028,Climatology
4/3/19,0.053045753,Climatology
4/4/19,0.054098327,Climatology
4/5/19,0.053128242,Climatology
4/6/19,0.05111526,Climatology
4/7/19,0.050196394,Climatology
4/8/19,0.049195327,Climatology
4/9/19,0.04816983,Climatology
4/10/19,0.048323754,Climatology
4/11/19,0.048482824,Climatology
4/12/19,0.048827246,Climatology
4/13/19,0.048838362,Climatology
4/14/19,0.048673414,Climatology
4/15/19,0.04787972,Climatology
4/16/19,0.047601856,Climatology
4/17/19,0.047715686,Climatology
4/18/19,0.047261577,Climatology
4/19/19,0.04679006,Climatology
4/20/19,0.046402298,Climatology
4/21/19,0.044050373,Climatology
4/22/19,0.042797197,Climatology
4/23/19,0.04157081,Climatology
4/24/19,0.040494703,Climatology
4/25/19,0.040307187,Climatology
4/26/19,0.0406942,Climatology
4/27/19,0.04090245,Climatology
4/28/19,0.041398987,Climatology
4/29/19,0.04175134,Climatology
4/30/19,0.040557366,Climatology
5/1/19,0.040730637,Climatology
5/2/19,0.040073287,Climatology
5/3/19,0.037578057,Climatology
5/4/19,0.03613387,Climatology
5/5/19,0.034724712,Climatology
5/6/19,0.033290464,Climatology
5/7/19,0.032074664,Climatology
5/8/19,0.031197425,Climatology
5/9/19,0.03045848,Climatology
5/10/19,0.029797547,Climatology
5/11/19,0.0310925,Climatology
5/12/19,0.03144376,Climatology
5/13/19,0.02897986,Climatology
5/14/19,0.027274895,Climatology
5/15/19,0.02628942,Climatology
5/16/19,0.025609296,Climatology
5/17/19,0.025374753,Climatology
5/18/19,0.025167719,Climatology
5/19/19,0.025627106,Climatology
5/20/19,0.025265232,Climatology
5/21/19,0.024570446,Climatology
5/22/19,0.024167797,Climatology
5/23/19,0.024874395,Climatology
5/24/19,0.023548763,Climatology
5/25/19,0.022811916,Climatology
5/26/19,0.021894954,Climatology
5/27/19,0.021020783,Climatology
5/28/19,0.020423055,Climatology
5/29/19,0.020079616,Climatology
5/30/19,0.019538933,Climatology
5/31/19,0.01876876,Climatology
6/1/19,0.017863842,Climatology
6/2/19,0.017212417,Climatology
6/3/19,0.016448176,Climatology
6/4/19,0.015590228,Climatology
6/5/19,0.0148015,Climatology
6/6/19,0.014039473,Climatology
6/7/19,0.013275668,Climatology
6/8/19,0.012546574,Climatology
6/9/19,0.011953204,Climatology
6/10/19,0.011327229,Climatology
6/11/19,0.010647264,Climatology
6/12/19,0.010008724,Climatology
6/13/19,0.009504502,Climatology
6/14/19,0.008999682,Climatology
6/15/19,0.008477035,Climatology
6/16/19,0.007992613,Climatology
6/17/19,0.007628407,Climatology
6/18/19,0.007272027,Climatology
6/19/19,0.006917587,Climatology
6/20/19,0.006432816,Climatology
6/21/19,0.006020147,Climatology
6/22/19,0.005613393,Climatology
6/23/19,0.005225374,Climatology
6/24/19,0.004922333,Climatology
6/25/19,0.004586918,Climatology
6/26/19,0.004272474,Climatology
6/27/19,0.004007236,Climatology
6/28/19,0.003737598,Climatology
6/29/19,0.003460386,Climatology
6/30/19,0.003209453,Climatology
7/1/19,0.002932577,Climatology
7/2/19,0.002797843,Climatology
7/3/19,0.002592476,Climatology
7/4/19,0.002388965,Climatology
7/5/19,0.002191379,Climatology
7/6/19,0.002005798,Climatology
7/7/19,0.001859838,Climatology
7/8/19,0.001706947,Climatology
7/9/19,0.001566003,Climatology
7/10/19,0.001439413,Climatology
7/11/19,0.001316984,Climatology
7/12/19,0.001207538,Climatology
7/13/19,0.001095745,Climatology
7/14/19,0.000996699,Climatology
7/15/19,0.000913412,Climatology
7/16/19,0.000837562,Climatology
7/17/19,0.000767141,Climatology
7/18/19,0.000696193,Climatology
7/19/19,0.000627955,Climatology
7/20/19,0.00055932,Climatology
7/21/19,0.000497789,Climatology
7/22/19,0.000447719,Climatology
7/23/19,0.000402834,Climatology
7/24/19,0.000359652,Climatology
7/25/19,0.000322275,Climatology
7/26/19,0.000288933,Climatology
7/27/19,0.00025944,Climatology
7/28/19,0.000234719,Climatology
7/29/19,0.000212256,Climatology
7/30/19,0.000192101,Climatology
7/31/19,0.000174344,Climatology
8/1/19,0.000152395,Climatology
8/2/19,0.000138967,Climatology
8/3/19,0.000123773,Climatology
8/4/19,0.000108491,Climatology
8/5/19,9.56212E-05,Climatology
8/6/19,8.50139E-05,Climatology
8/7/19,7.50422E-05,Climatology
8/8/19,6.61667E-05,Climatology
8/9/19,5.92492E-05,Climatology
8/10/19,5.22793E-05,Climatology
8/11/19,4.51541E-05,Climatology
8/12/19,3.88464E-05,Climatology
8/13/19,3.28587E-05,Climatology
8/14/19,2.78009E-05,Climatology
8/15/19,2.32843E-05,Climatology
8/16/19,1.93205E-05,Climatology
8/17/19,1.64315E-05,Climatology
8/18/19,1.38518E-05,Climatology
8/19/19,1.16823E-05,Climatology
8/20/19,1.00258E-05,Climatology
8/21/19,8.02489E-06,Climatology
8/22/19,6.9555E-06,Climatology
8/23/19,5.99189E-06,Climatology
8/24/19,5.31316E-06,Climatology
8/25/19,4.76954E-06,Climatology
8/26/19,4.76954E-06,Climatology
8/27/19,4.76954E-06,Climatology
8/28/19,4.76954E-06,Climatology
8/29/19,4.76954E-06,Climatology
8/30/19,4.76954E-06,Climatology
8/31/19,4.76954E-06,Climatology
9/1/19,4.76954E-06,Climatology
9/2/19,4.76954E-06,Climatology
9/3/19,4.76954E-06,Climatology
9/4/19,4.76954E-06,Climatology
9/5/19,4.76954E-06,Climatology
9/6/19,4.76954E-06,Climatology
9/7/19,4.76954E-06,Climatology
9/8/19,4.76954E-06,Climatology
9/9/19,4.76954E-06,Climatology
9/10/19,4.76954E-06,Climatology
9/11/19,4.76954E-06,Climatology
9/12/19,4.76954E-06,Climatology
9/13/19,4.76954E-06,Climatology
9/14/19,4.76954E-06,Climatology
9/15/19,4.76954E-06,Climatology
9/16/19,4.76954E-06,Climatology
9/17/19,4.76954E-06,Climatology
9/18/19,4.76954E-06,Climatology
9/19/19,4.76954E-06,Climatology
9/20/19,4.76954E-06,Climatology
9/21/19,4.76954E-06,Climatology
9/22/19,4.76954E-06,Climatology
9/23/19,4.76954E-06,Climatology
9/24/19,4.76954E-06,Climatology
9/25/19,4.76954E-06,Climatology
9/26/19,4.76954E-06,Climatology
9/27/19,4.76954E-06,Climatology
9/28/19,4.76954E-06,Climatology
9/29/19,4.76954E-06,Climatology
9/30/19,4.76954E-06,Climatology