DateTime,RZSM,Year
04/01,-0.31,2016
04/02,-0.39,2016
04/03,-0.48,2016
04/04,-0.57,2016
04/05,-0.59,2016
04/06,-0.61,2016
04/07,-0.64,2016
04/08,-0.68,2016
04/09,-0.72,2016
04/10,-0.77,2016
04/11,-0.81,2016
04/12,-0.86,2016
04/13,-0.87,2016
04/14,-0.85,2016
04/15,-0.82,2016
04/16,-0.78,2016
04/17,-0.73,2016
04/18,-0.66,2016
04/19,-0.59,2016
04/20,-0.56,2016
04/21,-0.55,2016
04/22,-0.52,2016
04/23,-0.48,2016
04/24,-0.45,2016
04/25,-0.41,2016
04/26,-0.35,2016
04/27,-0.28,2016
04/28,-0.19,2016
04/29,-0.12,2016
04/30,-0.06,2016
05/01,-0.02,2016
05/02,0.0,2016
05/03,0.0,2016
05/04,-0.03,2016
05/05,-0.06,2016
05/06,-0.1,2016
05/07,-0.14,2016
05/08,-0.18,2016
05/09,-0.2,2016
05/10,-0.22,2016
05/11,-0.23,2016
05/12,-0.24,2016
05/13,-0.25,2016
05/14,-0.27,2016
05/15,-0.3,2016
05/16,-0.35,2016
05/17,-0.4,2016
05/18,-0.46,2016
05/19,-0.51,2016
05/20,-0.55,2016
05/21,-0.59,2016
05/22,-0.63,2016
05/23,-0.64,2016
05/24,-0.63,2016
05/25,-0.64,2016
05/26,-0.64,2016
05/27,-0.66,2016
05/28,-0.66,2016
05/29,-0.65,2016
05/30,-0.65,2016
05/31,-0.66,2016
06/01,-0.66,2016
06/02,-0.65,2016
06/03,-0.65,2016
06/04,-0.64,2016
06/05,-0.66,2016
06/06,-0.68,2016
06/07,-0.69,2016
06/08,-0.7,2016
06/09,-0.71,2016
06/10,-0.71,2016
06/11,-0.71,2016
06/12,-0.69,2016
06/13,-0.66,2016
06/14,-0.65,2016
06/15,-0.65,2016
06/16,-0.65,2016
06/17,-0.66,2016
06/18,-0.67,2016
06/19,-0.7,2016
06/20,-0.73,2016
06/21,-0.75,2016
06/22,-0.76,2016
06/23,-0.77,2016
06/24,-0.78,2016
06/25,-0.78,2016
06/26,-0.78,2016
06/27,-0.78,2016
06/28,-0.79,2016
06/29,-0.79,2016
06/30,-0.78,2016
07/01,-0.78,2016
07/02,-0.77,2016
07/03,-0.77,2016
07/04,-0.76,2016
07/05,-0.74,2016
07/06,-0.72,2016
07/07,-0.71,2016
07/08,-0.69,2016
07/09,-0.67,2016
07/10,-0.64,2016
07/11,-0.62,2016
07/12,-0.61,2016
07/13,-0.6,2016
07/14,-0.59,2016
07/15,-0.57,2016
07/16,-0.56,2016
07/17,-0.57,2016
07/18,-0.58,2016
07/19,-0.58,2016
07/20,-0.59,2016
07/21,-0.6,2016
07/22,-0.61,2016
07/23,-0.61,2016
07/24,-0.61,2016
07/25,-0.6,2016
07/26,-0.59,2016
07/27,-0.54,2016
07/28,-0.52,2016
07/29,-0.51,2016
07/30,-0.49,2016
07/31,-0.49,2016
08/01,-0.48,2016
08/02,-0.48,2016
08/03,-0.52,2016
08/04,-0.55,2016
08/05,-0.57,2016
08/06,-0.57,2016
08/07,-0.57,2016
08/08,-0.56,2016
08/09,-0.55,2016
08/10,-0.54,2016
08/11,-0.52,2016
08/12,-0.51,2016
08/13,-0.52,2016
08/14,-0.53,2016
08/15,-0.54,2016
08/16,-0.56,2016
08/17,-0.55,2016
08/18,-0.53,2016
08/19,-0.51,2016
08/20,-0.49,2016
08/21,-0.48,2016
08/22,-0.46,2016
08/23,-0.45,2016
08/24,-0.45,2016
08/25,-0.46,2016
08/26,-0.46,2016
08/27,-0.47,2016
08/28,-0.47,2016
08/29,-0.47,2016
08/30,-0.47,2016
08/31,-0.47,2016
09/01,-0.48,2016
09/02,-0.46,2016
09/03,-0.42,2016
09/04,-0.38,2016
09/05,-0.33,2016
09/06,-0.3,2016
09/07,-0.27,2016
09/08,-0.24,2016
09/09,-0.25,2016
09/10,-0.29,2016
09/11,-0.33,2016
09/12,-0.36,2016
09/13,-0.38,2016
09/14,-0.4,2016
09/15,-0.43,2016
09/16,-0.44,2016
09/17,-0.46,2016
09/18,-0.49,2016
09/19,-0.53,2016
09/20,-0.57,2016
09/21,-0.59,2016
09/22,-0.57,2016
09/23,-0.51,2016
09/24,-0.45,2016
09/25,-0.37,2016
09/26,-0.3,2016
09/27,-0.24,2016
09/28,-0.16,2016
09/29,-0.12,2016
09/30,-0.1,2016
04/01,-0.143,2017
04/02,-0.178,2017
04/03,-0.214,2017
04/04,-0.252,2017
04/05,-0.254,2017
04/06,-0.257,2017
04/07,-0.255,2017
04/08,-0.25,2017
04/09,-0.247,2017
04/10,-0.246,2017
04/11,-0.246,2017
04/12,-0.249,2017
04/13,-0.271,2017
04/14,-0.306,2017
04/15,-0.352,2017
04/16,-0.393,2017
04/17,-0.424,2017
04/18,-0.441,2017
04/19,-0.462,2017
04/20,-0.463,2017
04/21,-0.457,2017
04/22,-0.449,2017
04/23,-0.448,2017
04/24,-0.453,2017
04/25,-0.47,2017
04/26,-0.483,2017
04/27,-0.502,2017
04/28,-0.524,2017
04/29,-0.542,2017
04/30,-0.556,2017
05/01,-0.571,2017
05/02,-0.583,2017
05/03,-0.591,2017
05/04,-0.599,2017
05/05,-0.603,2017
05/06,-0.601,2017
05/07,-0.605,2017
05/08,-0.617,2017
05/09,-0.641,2017
05/10,-0.672,2017
05/11,-0.709,2017
05/12,-0.748,2017
05/13,-0.789,2017
05/14,-0.811,2017
05/15,-0.826,2017
05/16,-0.829,2017
05/17,-0.825,2017
05/18,-0.817,2017
05/19,-0.81,2017
05/20,-0.801,2017
05/21,-0.808,2017
05/22,-0.822,2017
05/23,-0.835,2017
05/24,-0.849,2017
05/25,-0.861,2017
05/26,-0.875,2017
05/27,-0.892,2017
05/28,-0.907,2017
05/29,-0.923,2017
05/30,-0.942,2017
05/31,-0.957,2017
06/01,-0.965,2017
06/02,-0.967,2017
06/03,-0.965,2017
06/04,-0.956,2017
06/05,-0.945,2017
06/06,-0.935,2017
06/07,-0.926,2017
06/08,-0.915,2017
06/09,-0.906,2017
06/10,-0.898,2017
06/11,-0.865,2017
06/12,-0.819,2017
06/13,-0.772,2017
06/14,-0.73,2017
06/15,-0.694,2017
06/16,-0.66,2017
06/17,-0.635,2017
06/18,-0.642,2017
06/19,-0.66,2017
06/20,-0.677,2017
06/21,-0.692,2017
06/22,-0.708,2017
06/23,-0.726,2017
06/24,-0.74,2017
06/25,-0.746,2017
06/26,-0.746,2017
06/27,-0.742,2017
06/28,-0.741,2017
06/29,-0.745,2017
06/30,-0.744,2017
07/01,-0.744,2017
07/02,-0.752,2017
07/03,-0.769,2017
07/04,-0.786,2017
07/05,-0.802,2017
07/06,-0.813,2017
07/07,-0.823,2017
07/08,-0.833,2017
07/09,-0.841,2017
07/10,-0.847,2017
07/11,-0.847,2017
07/12,-0.844,2017
07/13,-0.84,2017
07/14,-0.836,2017
07/15,-0.828,2017
07/16,-0.814,2017
07/17,-0.797,2017
07/18,-0.777,2017
07/19,-0.747,2017
07/20,-0.72,2017
07/21,-0.696,2017
07/22,-0.676,2017
07/23,-0.657,2017
07/24,-0.644,2017
07/25,-0.637,2017
07/26,-0.637,2017
07/27,-0.64,2017
07/28,-0.638,2017
07/29,-0.634,2017
07/30,-0.63,2017
07/31,-0.617,2017
08/01,-0.591,2017
08/02,-0.565,2017
08/03,-0.534,2017
08/04,-0.499,2017
08/05,-0.465,2017
08/06,-0.433,2017
08/07,-0.406,2017
08/08,-0.395,2017
08/09,-0.387,2017
08/10,-0.374,2017
08/11,-0.358,2017
08/12,-0.341,2017
08/13,-0.315,2017
08/14,-0.286,2017
08/15,-0.256,2017
08/16,-0.232,2017
08/17,-0.228,2017
08/18,-0.238,2017
08/19,-0.246,2017
08/20,-0.262,2017
08/21,-0.292,2017
08/22,-0.322,2017
08/23,-0.341,2017
08/24,-0.348,2017
08/25,-0.356,2017
08/26,-0.375,2017
08/27,-0.396,2017
08/28,-0.41,2017
08/29,-0.424,2017
08/30,-0.436,2017
08/31,-0.45,2017
09/01,-0.46,2017
09/02,-0.468,2017
09/03,-0.48,2017
09/04,-0.494,2017
09/05,-0.515,2017
09/06,-0.549,2017
09/07,-0.581,2017
09/08,-0.608,2017
09/09,-0.627,2017
09/10,-0.641,2017
09/11,-0.652,2017
09/12,-0.637,2017
09/13,-0.572,2017
09/14,-0.474,2017
09/15,-0.381,2017
09/16,-0.293,2017
09/17,-0.195,2017
09/18,-0.093,2017
09/19,-0.024,2017
09/20,0.002,2017
09/21,0.001,2017
09/22,0.01,2017
09/23,0.025,2017
09/24,0.035,2017
09/25,0.042,2017
09/26,0.066,2017
09/27,0.085,2017
09/28,0.085,2017
09/29,0.076,2017
09/30,0.065,2017
